noise_model,rate,k,n,series,kind,rmse,ci_lo,ci_hi
dephasing,0.1,2,5,single,theory,0.12127515515246093,,
dephasing,0.1,2,5,collective,theory,0.3112873525270106,,
dephasing,0.1,2,6,single,theory,0.26057171630764014,,
dephasing,0.1,2,6,collective,theory,0.36045470713638766,,
dephasing,0.1,2,7,single,theory,0.6546532939841455,,
dephasing,0.1,2,7,collective,theory,0.40587988734064084,,
dephasing,0.1,2,8,single,theory,1.711385789968172,,
dephasing,0.1,2,8,collective,theory,0.4448716668003894,,
dephasing,0.1,2,9,single,theory,4.511270203042667,,
dephasing,0.1,2,9,collective,theory,0.48003898190411237,,
